# canopy temperature and spad were recorded as follows,,,,,,,,,,,
"# initially serpentine recording taking 2 super columns at once, starting at 1st row(north facing)",,,,,,,,,,,
"# after completion in two supercolumns, remaining three supercolumns were taken at once during recording, starting at 12th row at the completion point of intitial 2-supercol record.",,,,,,,,,,,
Plot,CTD_1_Feb23,CTD_2_Feb23,CTD_3_Feb23,CTD_4_Feb23,Ambient_Temperature_Feb23,Ctemp_plotinfo.,SPAD_1,SPAD_2,SPAD_3,SPAD_4,
1,22.6,24,24,23.8,26.2,,53.1,53.2,59.5,54,1strow_1stsupercol
2,21.3,19.1,21.3,,,,60.5,53,51.4,,1strow_1stsupercol
3,21.8,26.7,21.7,,,,46,44.6,53.7,,1strow_1stsupercol
4,21.2,20.9,20.2,21.3,,,47,54.3,39.9,41.5,1strow_1stsupercol
5,19.3,20.4,20.8,21.5,,,49.5,47.2,56.6,49.6,1strow_2ndsupercol
6,24,21.4,21.8,,27,,54.2,44.7,59,,1strow_2ndsupercol
7,NA,NA,NA,,,,32.2,41.9,51,,1strow_2ndsupercol
8,23.8,24.4,23.4,,,row_complete,42.3,44.9,46.1,,1strow_2ndsupercol
9,NA,NA,NA,,,,39,41.8,41.2,,2ndrow_2ndsupercol
10,20.8,20.6,20.4,20.5,,,42.2,42.5,44.6,52.2,2ndrow_2ndsupercol
11,22.6,22.3,22.3,21.9,,,35.9,40.1,46,47,2ndrow_2ndsupercol
12,gap,gap,gap,gap,gap,,gap,gap,gap,gap,2ndrow_2ndsupercol
13,22.9,22.8,21.6,21.5,,,49.5,38.4,48.1,38,2ndrow_1stsupercol
14,20.5,21.8,21.2,23.3,27,,45.4,42.5,48.8,51.5,2ndrow_1stsupercol
15,20.2,20.8,20.7,,,,45.9,46.9,47.7,,2ndrow_1stsupercol
16,23,21.9,23.3,,,row_complete,48.9,46.8,43.4,,2ndrow_1stsupercol
17,25,22.5,25.5,,,,46.2,51.1,,,3rdrow_1stsupercol
18,22.1,22.6,24.2,22.5,,,33.6,48,,,3rdrow_1stsupercol
19,24.1,23.1,22.3,,,,40.8,43.7,,,3rdrow_1stsupercol
