# SPAD,,,,,
# Date recorded: 29th falgun,,,,,
,,,,,
plot,spad1,spad2,spad3,spad4,
1,45.7,46.7,50.3,35.6,
2,41.3,47,,,
3,44,36.8,,,
4,38.8,29.2,53.1,,
5,40,24.8,28.9,,
6,51,43.2,,,
7,43.1,47.4,,,
8,33.2,33.6,,,
9,35.5,32.4,,,
10,43.6,49.2,,,
11,40.8,39.5,,,
12,42.4,44.3,44.7,,
13,48.4,45.1,40,,
14,34.3,35,,,
15,46.9,36.7,30.7,,
16,40.2,24.8,,,
17,26.5,34.2,,,
18,47.8,27.8,,,
19,30.8,36.7,45.4,,
20,43.1,26.8,44.3,,row_complete
21,48.7,33.7,,,
22,33.8,26.5,,,
23,37.8,31.8,45.3,,
24,18.5,26.8,17.7,,
25,38.4,32.1,45.3,,
26,48.2,22.4,,,
27,52.4,50.2,,,
28,38.5,38.2,35.4,,
29,52.6,40.2,,,
30,40.7,44.8,46.2,,
31,27.2,39.4,,,
32,45.4,41.6,35.5,,
33,32.8,26.8,,,
34,35,39.3,29.7,,
35,21.9,43.2,32.2,,
36,28.2,38.6,36.5,,
37,40.2,42.2,41.8,,
38,33.9,35.8,,,
39,12.3,17.4,,,row_complete
40,41.2,30.1,,,
41,38.7,33.6,16.3,,
42,38.9,33.3,,,
43,45.3,53.1,,,
44,10.4,31.6,32.8,,
45,39.8,47.8,,,
46,48.1,41,,,
47,34.6,40.4,37.3,,
48,31.4,40.2,,,
49,38.2,34.4,38.6,,
50,14.4,25.9,20.2,,
51,43.1,48.1,,,
52,41.5,27.4,,,
53,43.7,41,48,,
54,47,18.9,,,
55,36.4,41.1,44,,
56,17.5,35.6,,,
57,44.8,38.5,,,
58,40.3,25.6,,,
59,46.2,47.2,43.5,,row_complete
60,51.3,50.2,,,
61,32.4,39.8,,,
62,43.5,33.1,44.2,,
63,36.7,40,,,
64,39.4,33.4,,,
65,54.3,38.1,24.7,,
66,12.8,28.9,39.3,,
67,37.4,31.3,,,
68,19.2,22,16.7,,
69,46.5,29.2,,,
70,49.5,38.2,,,
71,31.5,39.8,46.8,,
72,40.5,48,,,
73,40.1,47,,,
74,34.4,48.6,22.8,,
75,37.5,28.3,35.8,,
76,30,33,17.2,,
77,32.3,24.8,,,
78,26.2,26.7,20.1,,
79,39.2,27.3,,,row_complete
80,33.1,44.9,45.3,,
81,34.1,20.1,,,
82,39.7,40.7,31.2,,
83,36.8,40,,,
84,42.8,16.3,,,
85,25.1,30,,,
86,35,37.2,38.5,,
87,24.3,30.3,32.4,,
88,40.5,38.1,37.7,,
89,42.5,51.8,47.4,,
90,37.1,44.8,,,
91,42.3,33.2,,,
92,30.6,38.8,,,
93,26.2,34.3,16.8,,
94,39,39.5,39,,
95,43.6,44.3,,,
96,43.4,37.3,,,
97,39.8,41.3,,,
98,38.9,27.3,32.1,,
99,22.8,20.8,28.7,,row_complete
100,43,40.2,,,
101,30.9,35.3,,,
102,38.5,43.2,42.5,,
103,43,42.6,43.1,,
104,40.3,42,,,
105,16,36,,,
106,43.4,45.2,,,
107,40.6,45.4,40.1,,
108,42,39.1,,,
