lin_check,Genotype,rowgroup,colgroup,row,col,yield7,panicle_len7,thou_grain_wt7,grain_per_pan7,effective_tiller7,dis_march15,greenness_z65,greenness_z75,greenness_z85,LAUG_65_75,LAUG_75_85,plht,lar,ctd,chl_ind1_2,chl_ind2_2,days_to_head,days_to_anth,Jan_23_2017,Jan_26_2017,Jan_29_2017,Feb_02_2017,Feb_06_2017,Feb_23_2017,line_or_check,check_or_line,is_line,is_check,conv,conf,interaction_rc
L106,PFAU/MILAN//TROST/3/MUNAL #1/4/PFAU/MILAN//...,1,4,1,12,4.463402,16.617891886465017,44.2344292566476,29.435283891748,27,1.333333333,8.35,7.96,6.97,120.081610840906,92.1786971726368,95.33333333333333,37.60707222156611,2.599999999999998,54.95,44.575,74,82,Before booting,Before booting,Booting,Awns appearing minus,Spikes appearing plus,Watery stage minus,L106,line,1,0,1,0,1.4
3,Gautam,1,4,2,12,2.8783946104977103,16.60772574746818,33.417924236276,28.2456311639099,20,2.33333333333333,7.85,7.8,5.06,109.348958538097,81.5692330792791,100,31.304599999999997,5.793333329999999,54.96666667,44.15,67,73,Swollen boot,Spikes appearing,One fourth of spikes appeared plus,Anthesis stage I plus,Anthesis stage IV,Soft dough stage plus,check,3,0,1,0,1,1.4
1,Aditya,1,4,3,12,3.0864361218726204,18.889727656624387,32.23590651305,30.9610148544665,22,3.33333333333333,8.58,8.45,6.77,118.164891336776,109.793068025203,106,31.57644443246889,3.120000000000001,48.1,40.4,70,77,Booting,Awns appearing,Spikes appearing minus,Three fourth of spikes appeared plus,Anthesis stage II,Soft dough stage minus,check,1,0,1,0,1,1.4
L79,FRANCOLIN #1/NELOKI,1,4,4,12,4.12443478349103,22.110360509189224,39.3826532137429,31.3514995943063,37,1.83333333333333,7.66,5.17,2.03,100.365952696374,25.2165320742808,101,48.706435553173115,5.780000000000001,45.675,40.36666667,70,78,Booting,Booting,Awns appearing plus,Half spikes appeared,Spikes have fully emerged plus,Watery stage plus,L79,line,1,0,1,0,1.4
L92,ROLF07/KINGBIRD #1//MUNAL #1,2,4,5,12,4.682017,16.35599851654781,38.2314470047292,29.2187586009322,34,4.166666667,7.63,3.27,0.69,91.1340547997652,30.5930453506554,93,46.43192443004089,6.34,50.725,31.23333333,74,80,Before booting,Booting,Booting plus,Spikes appearing,Spikes have fully emerged minus,Watery stage minus,L92,line,1,0,1,0,2.4
1,Aditya,2,4,6,12,2.9175613872749,15.78192441905986,33.20254508046,30.3478492044475,21,3,7.92,7.8,5.03,114.223818409058,81.3517600770936,100,40.775996660850005,4.600000000000001,52.63333333,47.1,69,78,Booting,Awns appearing,Spikes appearing plus,Three fourth of spikes appeared,Anthesis stage III minus,,check,1,0,1,0,1,2.4
1,Aditya,2,4,7,12,1.6100261551874402,16.648184914100245,30.438207419340003,23.7476328598988,24,4,7.81,6.76,4.53,101.841369457921,80.6889820070884,109,40.798666660500004,4.699999999999999,41.7,45.25,66,75,Swollen boot,Spikes appearing,Half spikes appeared minus,Spikes have fully emerged plus,Anthesis stage III plus,,check,1,0,1,0,1,2.4
2,Bhrikuti,2,4,8,12,3.09161359339039,16.47762822302917,32.829275751967,28.2141397139711,23,6,7.42,3.26,0.42,79.5073225831386,21.3458999123746,93,41.789699999999996,3.1333333299999993,44.43333333,33.4,63,70,Spikes appearing,Half spikes appeared,Three fourth of spikes appeared minus,Anthesis stage III,Anthesis advanced,,check,2,0,1,0,1,2.4
3,Gautam,3,4,9,12,4.00522375003037,18.265817369514217,41.1441846334668,33.166606069908,28,4,7.96,6.93,4.56,116.213350862715,79.7437237625199,100,45.5856666721,8.5,44.13333333,33.95,67,75,Swollen boot,Spikes appearing,One fourth of spikes appeared minus,Spikes have fully emerged plus,Anthesis stage III minus,,check,3,0,1,0,1,3.4
L12,WHEAR/VIVITSI//WHEAR/3/PANDORA,3,4,10,12,3.67725842696629,15.683591711981162,46.5453407356408,30.6972218845142,33,1,7.86,4.46,3.34,98.1633186698528,53.3060563989284,99,33.89994665939201,11.299999999999999,50.575,46.4,74,84,Before booting,Before booting,Booting,Swollen boot minus,Spikes appearing,Watery stage minus,L12,line,1,0,1,0,3.4
4,Tilottama,3,4,11,12,3.4200901598933298,17.327560731289935,35.974068290859,29.2705899118821,33,4,7.98,6.21,4.41,104.150028088686,71.0114660522577,104,43.568341658215,10.5,40.76666667,40.15,62,70,Spikes appearing,Three fourth of spikes appeared,Three fourth of spikes appeared plus,Anthesis stage III plus,Anthesis advanced,,check,4,0,1,0,1,3.4
