plot,lin_check,Jan_23_2017,Jan_26_2017,Jan_29_2017,Feb_02_2017,Feb_06_2017,Feb_23_2017,Chilling_01_23,disease_overall_01_26
1,L106,Before booting,Before booting,Booting,Awns appearing minus,Spikes appearing plus,Watery stage minus,0,
2,3,Swollen boot,Spikes appearing,One fourth of spikes appeared plus,Anthesis stage I plus,Anthesis stage IV,Soft dough stage plus,twisted_leaves,
3,1,Booting,Awns appearing,Spikes appearing minus,Three fourth of spikes appeared plus,Anthesis stage II,Soft dough stage minus,0,
4,L79,Booting,Booting,Awns appearing plus,Half spikes appeared,Spikes have fully emerged plus,Watery stage plus,2,35
5,L92,Before booting,Booting,Booting plus,Spikes appearing,Spikes have fully emerged minus,Watery stage minus,1,21
6,1,Booting,Awns appearing,Spikes appearing plus,Three fourth of spikes appeared,Anthesis stage III minus,,0,99
7,1,Swollen boot,Spikes appearing,Half spikes appeared minus,Spikes have fully emerged plus,Anthesis stage III plus,,twisted_leaves,99
8,2,Spikes appearing,Half spikes appeared,Three fourth of spikes appeared minus,Anthesis stage III,Anthesis advanced,,,23
9,3,Swollen boot,Spikes appearing,One fourth of spikes appeared minus,Spikes have fully emerged plus,Anthesis stage III minus,,0,40
10,L12,Before booting,Before booting,Booting,Swollen boot minus,Spikes appearing,Watery stage minus,0,35
11,4,Spikes appearing,Three fourth of spikes appeared,Three fourth of spikes appeared plus,Anthesis stage III plus,Anthesis advanced,,twisted_leaves,25
12,L98,Before booting,Before booting,Before booting,Before booting,Booting,Watery stage minus,0,12
13,L17,Before booting,Booting,Spikes appearing minus,Half spikes appeared,Anthesis stage I,Watery stage minus,1,35
14,3,Swollen boot,Awns appearing,Spikes appearing minus,Spikes have fully emerged,Anthesis stage III,,0,50
15,L37,Before booting,Before booting,Before booting,Booting,Awns appearing,Watery stage minus,0,5
16,4,Spikes appearing,Half spikes appeared,Three fourth of spikes appeared plus,Anthesis stage II,Anthesis stage III,,1,40
17,2,Spikes appearing,Three fourth of spikes appeared,Spikes have fully emerged,Anthesis stage II,Anthesis advanced plus,,0,35
18,4,One fourth of spikes appeared,Three fourth of spikes appeared,Spikes have fully emerged minus,Anthesis stage II plus,Anthesis advanced plus,,1,30
19,L95,Booting,Booting,Spikes appearing minus,Three fourth of spikes appeared,Anthesis stage I,Watery stage minus,0,25
20,L88,Booting,Booting,Swollen boot minus,Spikes appearing,Three fourth of spikes appeared,Watery stage,0,35
21,1,Swollen boot,Awns appearing,One fourth of spikes appeared minus,Spikes have fully emerged plus,Anthesis stage III,,0,99
22,4,Half spikes appeared,Spikes have fully emerged,Spikes have fully emerged plus,Anthesis stage II,Anthesis advanced,,0,30
23,L49,Before booting,Before booting,Swollen boot minus,Awns appearing minus,Spikes appearing plus,Watery stage minus,0,25
24,L38,Booting,Booting,Awns appearing plus,Half spikes appeared,Spikes have fully emerged,Watery stage minus,0,33
25,3,Booting,Spikes appearing,Spikes appearing plus,Anthesis stage II,Anthesis stage III,,tip_piping,35
26,2,Spikes appearing,One fourth of spikes appeared,Half spikes appeared plus,Anthesis stage I,Anthesis advanced,,0,30
27,1,Swollen boot,Spikes appearing,Spikes appearing plus,Anthesis stage I,Anthesis stage III,,0,45
28,L10,Before booting,Before booting,Booting plus,Booting plus,Spikes appearing plus,Watery stage minus,0,22
29,2,Awns appearing,Spikes appearing,One fourth of spikes appeared plus,Spikes have fully emerged,Anthesis stage III,,0,40
30,L4,Before booting,Before booting,Booting,Booting,Spikes appearing,Watery stage minus,spots,28
31,2,Spikes appearing,One fourth of spikes appeared,Three fourth of spikes appeared minus,Anthesis stage II,Anthesis stage IV,,0,30
32,L13,Before booting,Booting,Booting plus,Awns appearing,Half spikes appeared,Watery stage,0,99
33,3,Swollen boot,Spikes appearing,One fourth of spikes appeared,Anthesis stage II,Anthesis stage III plus,,0,30
34,L43,Booting,Booting,Swollen boot minus,One fourth of spikes appeared,Spikes have fully emerged,Watery stage,0,35
35,L58,Booting,Booting,Swollen boot,One fourth of spikes appeared,Spikes have fully emerged plus,Watery stage plus,,23
36,,,,,,,,,
37,L24,Awns appearing,Awns appearing,Spikes appearing,Spikes have fully emerged,Anthesis stage II,Milky stage,piping,25
38,L33,Before booting,Booting,Swollen boot plus,Spikes appearing,Half spikes appeared,Watery stage minus,,35
39,4,Half spikes appeared,Half spikes appeared,Spikes have fully emerged,Anthesis stage III,Anthesis advanced,,piping,50
40,1,Awns appearing,Spikes appearing,One fourth of spikes appeared plus,Anthesis stage I,Anthesis stage IV,,,50
41,3,Awns appearing,Spikes appearing,Half spikes appeared,Anthesis stage III,Anthesis stage IV,,,50
42,L89,Before booting,Booting,Awns appearing,One fourth of spikes appeared,Three fourth of spikes appeared plus,Milky stage,,30
43,2,Spikes appearing,One fourth of spikes appeared,Three fourth of spikes appeared minus,Anthesis stage II,Anthesis stage IV,,,28
44,2,Before booting,Spikes appearing,Half spikes appeared,Anthesis stage I,Anthesis stage III,,,38
45,L57,Before booting,Booting,Awns appearing plus,One fourth of spikes appeared,Three fourth of spikes appeared plus,Milky stage,,35
46,4,Awns appearing,Spikes appearing,Half spikes appeared plus,Anthesis stage I,Anthesis stage II,,,
47,4,Awns appearing,Spikes appearing,Half spikes appeared,Anthesis stage I,Anthesis stage III,,,
48,L94,Before booting,Booting,Booting,Swollen boot,Spikes appearing,Watery stage minus,,
49,3,Swollen boot,Awns appearing,Spikes appearing plus,Anthesis stage I,Anthesis stage IV,,,
50,L46,Before booting,Before booting,Before booting,Booting minus,Spikes appearing plus,,disperse_tiller,
51,L53,Booting,Awns appearing,Spikes appearing minus,Half spikes appeared,Anthesis stage I plus,,,
52,1,Swollen boot,Spikes appearing,Spikes appearing plus,Three fourth of spikes appeared,Anthesis stage III,,,
53,4,One fourth of spikes appeared,Half spikes appeared,Spikes have fully emerged,Anthesis stage III plus,Anthesis advanced,,,
54,L82,Before booting,Before booting,Before booting,Before booting,Before booting,,,
55,2,Spikes appearing,One fourth of spikes appeared,Three fourth of spikes appeared minus,Anthesis stage I,Anthesis advanced,,,
56,L62,Before booting,Before booting,Booting minus,Swollen boot,Spikes appearing,,,
57,1,Swollen boot,Spikes appearing,Spikes appearing plus,Three fourth of spikes appeared plus,Anthesis stage III,,,
58,3,Awns appearing,Spikes appearing,One fourth of spikes appeared,Anthesis stage I,Anthesis stage III,,,
59,3,Spikes appearing,Spikes appearing,One fourth of spikes appeared,Anthesis stage II,Anthesis stage IV,,,
60,L40,Before booting,Before booting,Before booting,Booting plus,Spikes appearing,,,
61,3,Spikes appearing,Spikes appearing,One fourth of spikes appeared plus,Anthesis stage II,Anthesis stage IV,,,
62,2,Spikes appearing,One fourth of spikes appeared,Half spikes appeared plus,Anthesis stage II,Anthesis advanced,,,
63,L76,Before booting,Before booting,Before booting,Awns appearing,Awns appearing plus,,,
64,4,Spikes appearing,Half spikes appeared,Three fourth of spikes appeared,Anthesis stage II,Anthesis stage IV plus,,,
65,2,Awns appearing,Spikes appearing,One fourth of spikes appeared,Anthesis stage I,Anthesis stage III,,,
66,L28,Before booting,Before booting,Booting plus,Spikes appearing plus,One fourth of spikes appeared,,,
67,L41,Awns appearing,Spikes appearing,Half spikes appeared,Anthesis stage I,Anthesis stage IV minus,,,
68,4,One fourth of spikes appeared,One fourth of spikes appeared,Spikes have fully emerged minus,Anthesis stage III,Anthesis advanced,,,
69,L83,Swollen boot,Awns appearing,Awns appearing plus,One fourth of spikes appeared,Anthesis stage I,,,
70,1,Awns appearing,Spikes appearing,Half spikes appeared minus,Anthesis stage I,Anthesis stage II plus,,,
71,3,Awns appearing,Awns appearing,Spikes appearing,Spikes have fully emerged plus,Anthesis stage II,,,
72,L5,Before booting,Before booting,Before booting,Booting,Awns appearing,,,
73,1,Swollen boot,Awns appearing,Spikes appearing plus,Spikes have fully emerged,Anthesis stage II,,,
74,1,Spikes appearing,Spikes appearing,One fourth of spikes appeared plus,Anthesis stage I,Anthesis stage III,,,
75,L85,Booting,Booting,Spikes appearing plus,Half spikes appeared,Spikes have fully emerged plus,,,
76,L32,Before booting,Booting,Swollen boot,Spikes appearing plus,Half spikes appeared minus,,,
77,L108,Before booting,Booting,Spikes appearing minus,Half spikes appeared minus,Three fourth of spikes appeared,,,
78,4,Spikes appearing,Half spikes appeared,Three fourth of spikes appeared plus,Anthesis stage III,Anthesis advanced,,,
79,L7,Before booting,Booting,Swollen boot plus,One fourth of spikes appeared,Half spikes appeared,,,
80,2,Spikes appearing,Spikes appearing,Three fourth of spikes appeared,Anthesis stage II,Anthesis advanced,,,
81,L99,Before booting,Before booting,Before booting,Before booting,Awns appearing plus,Late anthesis,,
82,1,Spikes appearing,Spikes appearing,Half spikes appeared plus,Anthesis stage III,Anthesis stage IV,,piping,
83,L101,Before booting,Before booting,Swollen boot,Spikes appearing,Half spikes appeared,Watery stage minus,,
84,3,Awns appearing,Spikes appearing,One fourth of spikes appeared,Anthesis stage II,Anthesis stage III,,,uniform
85,2,Spikes appearing,Spikes appearing,Half spikes appeared,Anthesis stage I,Anthesis stage IV,,,nonuniform
86,4,Spikes appearing,One fourth of spikes appeared,Half spikes appeared minus,Anthesis stage I plus,Anthesis stage II,,,
87,L34,Before booting,Before booting,Before booting,Booting,Swollen boot,,,
88,L96,Before booting,Before booting,Booting,Swollen boot,Spikes appearing plus,Watery stage minus,,
89,L67,Before booting,Before booting,Booting,Booting,Spikes appearing,Late anthesis,,
90,L77,Before booting,Before booting,Swollen boot minus,Swollen boot minus,One fourth of spikes appeared,Late anthesis,,
91,3,Awns appearing,Awns appearing,One fourth of spikes appeared minus,Anthesis stage II,Anthesis stage III,,,
92,4,Spikes appearing,Half spikes appeared,Three fourth of spikes appeared,Anthesis stage III,Anthesis advanced,,,
93,2,Awns appearing,Spikes appearing,Half spikes appeared,Anthesis stage I,Anthesis stage III plus,,,
