# march 15,,,,,,,
# leaf glaucousness rated on a scale of 0-5 (higher value == more glaucous),,,,,,,
# fields left empty are not verifiable for sure,,,,,,,
# flag leaf senescence/disease rated on a scale of 0-9,,,,,,,
# flag leaf length scored on a scale of 0-9 for initial two rows only,,,,,,,
plot,glaucousness,flag_leaf_score1,flag_leaf_score2,flag_leaf_score_verify,flag_leaf_len,,
1,3,1.333333333,1.333333333,1.333333333,6,,
2,0,2,2.666666667,2.333333333,4,,
3,1,3.666666667,3,3.333333333,5,,
4,4,2,1.666666667,1.833333333,4,,
5,3,4.666666667,3.666666667,4.166666667,5,,
6,1,3.666666667,2.333333333,3,5,,
7,1,4,4,4,4,,
8,2,5,7,6,4,,
9,0,3,5,4,5,,
10,4,2,0,1,7,,
11,2,3,5,4,6,,
12,3,0,1,0.5,6,,
13,3,2,2,2,5,,
14,0,1,3,2,8,,
15,2,2,0,1,6,,
16,2,3,3,3,4,,
17,2,4,4,4,5,,
18,1,3,7,5,5,,
19,2,1,5,3,4,,
20,3,2,2,2,5,,row_complete
21,1,2,2,2,5,,
22,1,4,6,5,3,,
23,2,3,3,3,6,,
24,2,6,7,6.5,4,,
25,0,4,2,3,5,,
26,2,4,6,5,3,,
27,0,1,4,2.5,5,,
28,4,2,4,3,6,,
29,2,2,2,2,6,,
30,4,3,5,4,7,,
31,1,2,4,3,5,,
32,3,1,2,1.5,7,,
33,0,3,2,2.5,4,,
34,4,2,2,2,4,,
35,2,5,6,5.5,3,,
36,3,1,2,1.5,4,,
37,1,2,3,2.5,3,,
38,2,4,4,4,4,,
39,0,6,6,6,3,,row_complete
40,1,3,3,,NA,,
41,2,3,3,,NA,,
42,3,3,3,,NA,,
43,3,2,1,,NA,,
44,3,4,3,,NA,,
45,3,2,2,,NA,,
46,2,2,3,,NA,,
47,3,2,3,,NA,,
48,1,2,2,,NA,,
49,3,2,2,,NA,,
50,2,4,1,,NA,,
51,1,2,2,,NA,,
52,2,3,2,,NA,,
53,4,1,0,,NA,,
54,2,2,3,,NA,,
55,2,2,3,,NA,,
56,1,2,2,,NA,,
57,1,2,2,,NA,,
58,1,4,1,,NA,,
59,3,1,1,,NA,,
60,1,2,2,,NA,,
61,3,3,2,,NA,,
62,3,2,3,,NA,,
63,2,2,3,,NA,,
64,2,3,3,,NA,,
65,4,2,5,,NA,,
66,1,3,4,,NA,,
67,2,1,2,,NA,,
68,3,2,3,,NA,,
69,1,2,1,,NA,,
70,1,2,2,,NA,,
71,4,1,1,,NA,,
72,1,2,2,,NA,,
73,1,3,2,,NA,,
74,2,2,2,,NA,,
75,3,2,3,,NA,,
76,2,5,3,,NA,,
77,3,3,3,,NA,,
78,3,2,3,,NA,,
79,2,6,3,,NA,,row_complete
80,3,1,2,,NA,,
81,1,4,3,,NA,,
82,4,2,2,,NA,,
83,1,2,2,,NA,,
84,3,4,4,,NA,,
85,2,2,1,,NA,,
86,3,1,4,,NA,,
87,4,1,3,,NA,,
88,2,1,2,,NA,,
89,4,1,1,,NA,,
90,1,2,2,,NA,,
91,2,3,3,,NA,,
92,2,2,3,,NA,,
93,2,4,5,,NA,,
94,3,1,2,,NA,,
95,1,1,2,,NA,,
96,2,1,2,,NA,,
97,2,2,1,,NA,,
98,3,3,3,,NA,,
99,2,4,5,,NA,,row_complete
100,3,4,5,4.5,NA,,
