"plot","row","col","rowgroup","colgroup","lin_check","leaf_dec_27","spread_dec_27","insect_score_dec_27","disease_score_dec_27","leaf_dec_27.1","spread_dec_27.1","insect_score_dec_27.1","disease_score_dec_27.1","leaf_dec_27.2","spread_dec_27.2","insect_score_dec_27.2","disease_score_dec_27.2","leaf_dec_27.3","spread_dec_27.3","insect_score_dec_27.3","disease_score_dec_27.3","leaf_dec_27.4","spread_dec_27.4","insect_score_dec_27.4","disease_score_dec_27.4","leaf_dec_27.5","spread_dec_27.5","insect_score_dec_27.5","disease_score_dec_27.5","remarks_dec_27"
12,12,1,1,4,"L106",5,8,10,0,5,8,30,0,5,6,0,0,5,6.5,0,0,5,5,5,0,5,6,0,0,"aphids, bhusuna"
24,12,2,1,4,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"spots @ lower  side"
36,12,3,1,4,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"spots @ 1st row, few spots on lower part, erect leaves"
48,12,4,1,4,"L79",4,6,0,0,4,5,10,0,4,7,0,0,4,7,0,0,4,5,15,0,4,5,5,0,"ND, insects+, aphids, yellow"
60,12,5,2,4,"L92",5,4,5,0,5,7,0,0,5,7,0,0,4,4,10,0,5,6,5,0,5,5,5,0,"aphids"
72,12,6,2,4,"1",5,4,10,0,5,5,10,0,5,4,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
84,12,7,2,4,"1",5,4,5,0,5,5,5,0,5,4,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aphids+"
96,12,8,2,4,"2",5,4,10,0,5,4,10,0,5,4,10,0,4,3,10,0,NA,NA,NA,NA,NA,NA,NA,NA,"erect leaves"
108,12,9,3,4,"3",5,5,5,0,5,5,5,0,5,5,5,0,5,5,5,0,NA,NA,NA,NA,NA,NA,NA,NA,""
120,12,10,3,4,"L12",5,6,5,0,5,6,0,0,4,7,25,0,5,6,20,0,5,6,0,0,5,7,0,0,"yellow"
132,12,11,3,4,"4",5,6,5,0,5,6,5,0,5,6,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
144,12,12,3,4,"L98",5,6,5,0,5,5,10,0,5,6,0,0,5,6,0,0,5,6,15,0,NA,NA,NA,NA,"yellow"
156,12,13,4,4,"L17",5,4,15,0,5,5,0,0,5,6,0,0,5,4,10,0,5,4,20,0,5,6,10,0,""
168,12,14,4,4,"3",5,7,30,0,5,6,0,0,5,4,0,0,5,4,0,0,5,4,10,0,5,7,5,0,"P+(133023)"
180,12,15,4,4,"L37",4,5,0,0,5,6,0,0,5,8,20,0,5,4,10,0,5,4,0,0,4,3,0,0,""
192,12,16,4,4,"4",5,6,5,0,5,5,5,0,5,4,10,0,5,7,0,0,5,4,10,0,5,6,0,0,""
204,12,17,5,4,"2",5,6,5,0,5,5,0,0,5,4,10,0,5,6,0,0,5,6,0,0,5,6,0,0,""
216,12,18,5,4,"4",4,3,0,0,4,3,0,0,5,4,0,0,5,4,0,0,5,5,0,0,5,5,0,0,""
228,12,19,5,4,"L95",5,NA,5,0,5,NA,0,0,5,NA,5,0,5,NA,5,0,5,NA,5,0,NA,NA,NA,NA,"spots"
240,12,20,5,4,"L88",4,NA,0,0,4,NA,0,0,4,NA,5,0,4,NA,15,0,4,NA,0,1,NA,NA,NA,NA,""
239,11,20,5,4,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
227,11,19,5,4,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
215,11,18,5,4,"L49",5,NA,10,0,5,NA,10,2,5,NA,10,0,5,NA,0,0,5,NA,0,0,5,NA,0,2,"spots"
203,11,17,5,4,"L38",5,NA,10,0,5,NA,5,0,5,NA,0,0,5,NA,5,0,5,NA,0,0,5,NA,10,0,"yellowing"
191,11,16,4,4,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
179,11,15,4,4,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
167,11,14,4,4,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
155,11,13,4,4,"L10",5,NA,5,0,5,NA,0,0,5,NA,0,0,5,NA,0,0,5,NA,5,0,5,NA,5,1,"spots"
143,11,12,3,4,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
131,11,11,3,4,"L4",5,NA,0,1,5,NA,0,2,5,NA,5,1,5,NA,5,0,5,NA,10,0,5,NA,10,0,""
119,11,10,3,4,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
107,11,9,3,4,"L13",5,NA,10,0,5,NA,10,0,5,NA,5,0,5,NA,5,0,5,NA,20,0,4,NA,5,0,""
95,11,8,2,4,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
83,11,7,2,4,"L43",5,NA,5,0,5,NA,0,0,4,NA,0,0,5,NA,0,0,5,NA,5,0,5,NA,0,0,""
71,11,6,2,4,"L58",5,NA,0,0,5,NA,5,2,5,NA,5,0,5,NA,5,1,5,NA,10,0,5,NA,5,0,"yellow blotch"
59,11,5,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
47,11,4,1,4,"L24",5,NA,0,2,5,NA,0,0,5,NA,5,0,5,NA,5,0,5,NA,5,0,5,NA,5,0,""
35,11,3,1,4,"L33",5,NA,10,0,5,NA,0,0,5,NA,0,1,5,NA,5,0,5,NA,5,0,5,NA,5,0,"spots+"
23,11,2,1,4,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
11,11,1,1,4,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
10,10,1,1,4,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
22,10,2,1,4,"L89",NA,NA,5,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,1,""
34,10,3,1,4,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
46,10,4,1,4,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
58,10,5,2,4,"L57",NA,NA,10,0,NA,NA,0,0,NA,NA,5,0,NA,NA,0,0,NA,NA,0,0,NA,NA,10,2,"spots"
70,10,6,2,4,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
82,10,7,2,4,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
94,10,8,2,4,"L94",NA,NA,0,1,NA,NA,5,1,NA,NA,0,0,NA,NA,5,0,NA,NA,5,0,NA,NA,10,0,""
106,10,9,3,4,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
118,10,10,3,4,"L46",NA,NA,0,0,NA,NA,5,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,"spots @ lower side"
130,10,11,3,4,"L53",NA,NA,5,0,NA,NA,0,0,NA,NA,0,0,NA,NA,5,1,NA,NA,5,1,NA,NA,0,0,"spots @ upper side"
142,10,12,3,4,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
154,10,13,4,4,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
166,10,14,4,4,"L82",NA,NA,0,0,NA,NA,5,0,NA,NA,0,1,NA,NA,0,0,NA,NA,5,0,NA,NA,0,0,""
178,10,15,4,4,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
190,10,16,4,4,"L62",NA,NA,5,0,NA,NA,5,1,NA,NA,5,0,NA,NA,0,0,NA,NA,0,1,NA,NA,NA,NA,""
202,10,17,5,4,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
214,10,18,5,4,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
226,10,19,5,4,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
238,10,20,5,4,"L40",NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,2,NA,NA,5,0,NA,NA,5,1,""
237,9,20,5,3,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
225,9,19,5,3,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
213,9,18,5,3,"L76",NA,NA,0,0,NA,NA,20,0,NA,NA,10,1,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,"spot @ upper + lower, aphids"
