# data_record_date: Chaitra 25,,,,,,,,,
# data_entry_date: June 19,,,,,,,,,
"# row12_L04 seems to be duplicated and row9_L09 is improbable entry because only 8 entries exist in the row, so these entries have been omitted",,,,,,,,,
# data sheet yield_traits_with_desmat.csv:,,,,,,,,,
# has been transcripted to include check_133(?) as 14th plot and subsequent check labels have been added “1” to obtain numbering,,,,,,,,,
# unlabelled and NA observations have been omitted,,,,,,,,,
# one dubious observation Row2_check12 have been omitted,,,,,,,,,
plot,,panicle_length1,panicle_length2,panicle_length3,panicle_length4,grain_per_panicle1,grain_per_panicle2,grain_per_panicle3,grain_per_panicle4
Check_01,,16.3,18.2,17.5,16.7,24,31,32,27
Check_02,,18.8,18.6,16.9,16,28,32,32,31
Check_03,,17.9,15.4,15.7,16.1,28,34,30,26
Check_04,,16.7,16.8,17.3,17.4,26,26,24,22
Check_05,,16.6,17.1,16.9,16.3,27,28,28,31
Check_06,,16.2,19.6,19.7,16.9,29,38,39,29
Check_07,,16.4,16.6,16.5,17.7,26,31,30,28
Check_08,,18,20.3,20.3,16.5,27,28,29,36
Check_09,,16.3,16.2,18.2,18.1,24,23,24,25
Check_10,,15.7,15.3,15.6,15.1,22,22,21,28
Check_11,,18,16.5,16.7,16.4,32,35,33,35
Check_12,,18.2,17.9,17.8,18.3,30,32,33,31
Check_13,,19.1,16.3,16.2,16.8,24,26,26,25
Check_133,?,19.2,20.5,18.1,17.3,27,30,29,29
Check_14,,18.3,16.4,17.9,17.2,24,25,27,30
Check_15,,17.3,16.4,19.5,18.7,24,22,26,26
Check_16,,16.6,16.8,16.6,18.4,31,31,31,32
Check_17,,17,16.7,16.6,17.9,27,28,27,29
Check_18,,15.3,15.6,15.7,19.3,26,24,30,27
Check_19,,17.6,17.3,14.7,17.2,27,31,26,25
Check_20,,15.2,15.7,15.4,15.7,22,23,26,25
Check_22,,16.9,19,17.4,16.2,27,26,23,21
Check_23,,18.5,18.3,17.9,19.5,29,30,31,27
Check_25,,18.7,18.9,19,18.9,25,32,31,29
Check_26,,15.8,19.8,17.4,16.2,23,27,28,25
Check_27,,13.7,14.5,15.8,13.3,24,26,27,28
Check_28,,17.4,18,18.2,15.4,28,22,30,26
Check_29,,16.4,19.6,18.2,17.9,32,31,30,23
Check_29,,17.5,15.7,18.3,16.7,28,25,24,21
Check_30,,16.4,14.5,16.5,13.3,31,27,26,25
Check_31,,18.3,16.7,18.2,16.9,32,29,29,31
Check_32,,18.2,17.2,16.4,21.2,36,27,27,30
Check_34,,18.3,13.6,15.6,13.8,23,26,30,22
Check_35,,15.4,16.3,15.6,16.2,30,29,28,32
Check_36,,17.9,17.5,20.7,15.4,26,30,27,31
Check_38,,14.4,16.5,17,17.6,31,22,27,29
Check_39,,15.6,18.9,16.7,15.3,28,33,28,33
Check_40,,18.3,15.6,15.5,16.2,22,27,24,30
Check_42,,18.5,14.9,14.5,17.6,26,23,32,28
Check_43,,16.5,16.4,15.4,15.7,23,25,22,26
Check_44,,17.7,13.8,14.7,15.3,27,24,26,23
Check_45,,14.4,15.4,18.2,17.3,33,28,27,21
Check_46,,14.4,14.3,15.2,14.9,23,25,23,26
