# m = minus,,,
# p = plus,,,
# flag_health is rated higher for healthier flag leaf,,,
plot,yellowing,necrosis,flag_health
1,1p,1m,8
2,1,1m,7
3,1m,0,8
4,3,2m,6
5,5,2m,4
6,1,1m,7
7,1p,2m,7
8,3p,3,5
9,2,1,7
10,3p,2,6pp
11,2p,1p,7
12,6,2m,NA
13,3,2,5p
14,1p,2,7
15,6p,1p,NA
16,2m,1,7
17,1,0,7
18,2,1,7m
19,4,2p,6p
20,2p,2p,8
21,1m,0,7
22,2,3m,7
23,3p,1p,7p
24,4m,1m,8
25,2p,1,7m
26,3,2,7
27,1p,2p,7
28,3m,3,7
29,2p,1,7p
30,4m,2p,8
31,2,2m,8
32,1p,1,7
33,1p,1m,6p
34,2p,2m,7
35,3p,3m,8
36,4,3p,7
37,2,2p,8
38,2p,2,7m
39,1,1p,8
40,1,1,7p
41,3,3,7p
42,1p,1,8p
43,1m,1,8
44,3,2p,8
45,2m,1,8
46,1p,1p,7
47,4,2p,6
48,1p,1,6p
49,3p,2,7m
50,3m,1p,8
51,1,1m,8
52,2p,1,7
53,4,2m,x
54,1p,2,8
55,3,1,7
56,1,1,8
57,1p,1,7
58,1,1p,8
59,1,1p,8
60,1,1p,7
61,2,1p,6
62,3p,3,8
63,1p,1p,8p
64,2,2,7
65,3,3p,8
66,3p,2m,7
67,4m,1,6
68,4m,1p,8
69,1p,1p,7m
70,2m,1,6
71,4,3p,8
72,1,1p,8
73,1p,1p,7
74,3,3p,8p
75,2,2,8
76,3p,2p,7
77,1p,2p,8
78,3,3p,7
79,2,1p,8
80,4p,3p,x
81,1p,1p,7p
82,3m,3,7p
83,2m,1,7m
84,2p,2m,6p
85,1p,1,7p
86,7,3p,7
87,3p,3,8
88,1p,1p,7p
89,3p,1p,6p
90,2m,1p,7m
91,2p,1,7p
92,3m,1,6p
93,3p,2,7
94,2p,2p,8
95,2,1,9
96,2,1,7p
97,1,1p,7p
98,8p,3p,x
99,2p,2m,7
100,1p,2p,7p
101,2,2,7m
102,1p,1,8p
103,3m,2m,8
104,2,1p,6p
105,2,1,7p
106,1,1,7p
107,2m,1p,8p
108,1p,1p,7
109,3p,2p,7
110,5m,2,6p
111,2,1p,7
112,4,2p,7
113,3p,1p,x
114,1p,1p,8p
115,2,1p,7
116,2,2p,7
117,2,1,7
118,2p,1p,7p
119,1p,2m,7p
120,3p,2,8
121,2,2,8
122,8p,2m,5
123,2m,2,7p
124,4m,2p,7
125,1p,1,7
126,2,2,7m
127,1,1,6p
128,2p,2m,7m
129,2m,1,8
130,4m,2m,7m
131,1p,1m,7m
132,1p,1p,7p
133,3,2m,7
134,2,1m,7m
135,1p,1,7p
136,4p,2,8
137,4,2,6p
138,1,1m,6p
139,2p,1,7p
140,4p,2,6
141,3p,2p,7p
142,2p,1p,7
143,1p,1,7
144,4,2p,7
145,3,2,8
146,1,1,8
147,2,1,7p
148,1p,1p,8
149,6p,2p,6m
150,1p,1,8
151,2p,2,7
152,2m,1,7m
153,2m,0,8
154,2m,2,8
155,1m,1,8p
156,4m,2,8m
157,1,1,7
158,3,2,8
159,2p,1p,7p
160,1p,1,7m
161,2,2m,7m
162,4,3,7
163,1p,1p,8
164,1,1p,8
165,4,1,7p
166,2,1,7p
167,2p,2p,7
168,1p,2m,7p
169,3p,2,7m
170,1,1,8
171,2p,1p,8
172,4p,1p,x
173,2,1,6p
174,2p,1,7
175,1p,1p,6p
176,3,1,8m
177,4,2p,6m
178,1p,1m,7p
179,2p,1,6p
180,4m,2m,7p
181,1p,1p,7m
182,2m,1p,7
183,2p,2,8
184,2,1,7p
185,5m,2,6p
186,1,1,8
187,2p,2,8
188,2m,1,8
189,2,1,8
190,2m,1p,8m
191,3m,2m,7p
192,2p,1p,7m
193,2p,1p,7
194,1p,1,7p
195,2p,2m,8
196,2m,2p,8
197,2p,2,8m
198,2,1,7p
199,1p,2,7p
200,1m,1,8
201,4,2,7m
202,2m,2,7p
203,3,1,8p
204,4m,3,6
205,2,2m,7p
206,2m,2,8
207,3p,2p,7p
208,3,2,7p
209,2,1p,8m
210,2,1p,8m
211,2p,1,7p
212,2,1,8
213,1p,1,8
214,3,2m,8
215,2,1,7p
216,6,1p,x
217,1,1p,7
218,1,1m,8m
219,2p,1,7m
220,1,1,7p
221,1,1,8
222,3p,1,7
223,2p,1p,8
224,3,2,7p
225,2,1,7p
226,3,1p,7p
227,3p,1,7p
228,5m,1p,7m
229,2,1p,8
230,1p,1,8m
231,3p,2p,7
232,2p,2p,8m
233,2m,1p,8p
234,2p,1p,7
235,1m,1m,8
236,2m,1m,8m
237,2m,2,8
238,3,2,8
